training/avg_reward,x_axis/optimization_steps,x_axis/samples_seen,x_axis/samples_collected,x_axis/epochs,training/pg_loss,training/v_loss,training/entropy,training/approx_kl,training/clipfrac,training/grad_norm,training/ent_coef,training/PPD_loss,training/SPS,training/n_better_episodes,training/learning_rate,iteration,global_step,Test/Episode Reward Student on OD test,Test/Mean entropy Student on OD test
,1980.0,456192.0,114048.0,99.0,0.02556023746728897,28.07594871520996,-0.7248117923736572,0.0971524566411972,0.3916015625,3361.056884765625,0.0,8.292978286743164,227.0,0.0,0.0003,99,114048,,
-97.42080519615693,2000.0,460800.0,115200.0,100.0,-0.030992548912763596,373.041259765625,-0.7206361293792725,0.02633703127503395,0.2396484375,1738.705322265625,0.0,8.918319702148438,228.0,0.0,0.0003,100,115200,,
,,,,,,,,,,,,,,,,100,115200,-46.386325365327636,-0.76885575
-94.88828561844022,2020.0,465408.0,116352.0,101.0,0.05288868397474289,337.1062316894531,-0.7258235812187195,0.0460200309753418,0.1,2970.71923828125,0.0,9.948058128356934,213.0,0.0,0.0003,101,116352,,
,2040.0,470016.0,117504.0,102.0,0.027055729180574417,16.87425994873047,-0.7406772375106812,0.04738087207078934,0.12109375,218.2306365966797,0.0,8.866575241088867,211.0,0.0,0.0003,102,117504,,
-91.31295173833007,2060.0,474624.0,118656.0,103.0,0.02929946780204773,310.1324462890625,-0.7399155497550964,0.030857028439641,0.21796875,5565.88623046875,0.0,8.944090843200684,209.0,0.0,0.0003,103,118656,,
,2080.0,479232.0,119808.0,104.0,0.01022636890411377,23.6314640045166,-0.7399992346763611,0.06836970895528793,0.275,179.2075958251953,0.0,9.350507736206055,209.0,0.0,0.0003,104,119808,,
-91.6076259743092,2100.0,483840.0,120960.0,105.0,0.0015159081667661667,300.85247802734375,-0.725588321685791,0.06713549047708511,0.3849609375,2825.43896484375,0.0,10.544160842895508,209.0,0.0,0.0003,105,120960,,
-93.47650859815211,2120.0,488448.0,122112.0,106.0,0.006327226758003235,347.0395812988281,-0.7327661514282227,0.022852180525660515,0.194140625,1344.3563232421875,0.0,9.133927345275879,209.0,0.0,0.0003,106,122112,,
,2140.0,493056.0,123264.0,107.0,-0.026184439659118652,22.121370315551758,-0.7265509366989136,0.08808086067438126,0.2587890625,348.2782287597656,0.0,9.101280212402344,209.0,0.0,0.0003,107,123264,,
-94.14545186519396,2160.0,497664.0,124416.0,108.0,-0.015447814017534256,298.37554931640625,-0.7212154865264893,0.08703552186489105,0.4234375,1856.3853759765625,0.0,8.337577819824219,210.0,0.0,0.0003,108,124416,,
-94.98579992235467,2180.0,502272.0,125568.0,109.0,0.01795012131333351,258.35870361328125,-0.6984002590179443,0.07157274335622787,0.1435546875,1534.03759765625,0.0,8.341288566589355,209.0,0.0,0.0003,109,125568,,
,2200.0,506880.0,126720.0,110.0,0.01650441437959671,18.21308135986328,-0.715994119644165,0.05368392914533615,0.25625,131.32984924316406,0.0,8.410956382751465,208.0,0.0,0.0003,110,126720,,
-94.81396252955855,2220.0,511488.0,127872.0,111.0,0.02894694171845913,299.32000732421875,-0.7162426710128784,0.08721312880516052,0.4771484375,4552.78466796875,0.0,9.442840576171875,206.0,0.0,0.0003,111,127872,,
,2240.0,516096.0,129024.0,112.0,0.03390582278370857,32.81547546386719,-0.7248129844665527,0.07694381475448608,0.2603515625,148.72470092773438,0.0,9.342283248901367,205.0,0.0,0.0003,112,129024,,
-94.12019222567338,2260.0,520704.0,130176.0,113.0,0.013298964127898216,185.830810546875,-0.7201980948448181,0.05415076017379761,0.3794921875,2289.096435546875,0.0,8.60926628112793,203.0,0.0,0.0003,113,130176,,
-93.89795468591939,2280.0,525312.0,131328.0,114.0,-0.010515347123146057,218.7215576171875,-0.7221834063529968,0.03433164209127426,0.1384765625,2212.69140625,0.0,8.468941688537598,201.0,0.0,0.0003,114,131328,,
,2300.0,529920.0,132480.0,115.0,0.021304462105035782,34.7470703125,-0.7363482713699341,0.033844880759716034,0.2494140625,3284.2294921875,0.0,8.880763053894043,202.0,0.0,0.0003,115,132480,,
-93.24973043047054,2320.0,534528.0,133632.0,116.0,0.029712006449699402,216.080322265625,-0.7416208982467651,0.03854692354798317,0.3349609375,1236.1962890625,0.0,9.05501937866211,203.0,0.0,0.0003,116,133632,,
-90.782138546122,2340.0,539136.0,134784.0,117.0,0.03655264526605606,245.98350524902344,-0.7406833171844482,0.06329239159822464,0.2109375,4694.560546875,0.0,8.077930450439453,204.0,0.0,0.0003,117,134784,,
,2360.0,543744.0,135936.0,118.0,0.03835518658161163,21.40384864807129,-0.7380760908126831,0.03543788194656372,0.201171875,84.52288055419922,0.0,8.673057556152344,205.0,0.0,0.0003,118,135936,,
-90.4164923303751,2380.0,548352.0,137088.0,119.0,0.06190713867545128,294.08056640625,-0.7421958446502686,0.06661401689052582,0.238671875,5814.03759765625,0.0,7.525697231292725,206.0,0.0,0.0003,119,137088,,
-89.17401104268576,2400.0,552960.0,138240.0,120.0,-0.008452415466308594,201.7731170654297,-0.7399336099624634,0.008473344147205353,0.0025390625,1990.951171875,0.0,8.313217163085938,207.0,0.0,0.0003,120,138240,,
